Dataset,SRCNN PSNR,EDSR PSNR,SRCNN SSIM,EDSR SSIM,Bicubic PSNR
Set5,27.13,28.25,0.9821,0.9866,26.89
Set14,24.56,25.32,0.9631,0.9682,24.36
BSD100,24.93,25.44,0.9478,0.9525,24.74
Urban100,22.02,22.74,0.9395,0.9475,21.80
