Dataset,SRCNN PSNR,EDSR PSNR,SRCNN SSIM,EDSR SSIM,Bicubic PSNR
Set5,27.01,27.49,0.9816,0.9836,26.89
Set14,24.49,24.81,0.9624,0.9649,24.36
BSD100,24.90,25.13,0.9473,0.9499,24.74
Urban100,21.98,22.26,0.9387,0.9420,21.80
