Dataset,SRCNN PSNR,EDSR PSNR,SRCNN SSIM,EDSR SSIM,Bicubic PSNR
Set5,25.45,26.16,0.9735,0.9774,26.89
Set14,23.45,23.96,0.9531,0.9579,24.36
BSD100,24.16,24.57,0.9395,0.9436,24.74
Urban100,21.20,21.67,0.9279,0.9345,21.80
