Dataset,SRCNN PSNR,EDSR PSNR,SRCNN SSIM,EDSR SSIM,Bicubic PSNR
Set5,27.15,28.02,0.9823,0.9855,26.89
Set14,24.57,25.16,0.9631,0.9669,24.36
BSD100,24.93,25.35,0.9477,0.9512,24.74
Urban100,22.03,22.56,0.9392,0.9450,21.80
