Dataset,SRCNN PSNR,EDSR PSNR,SRCNN SSIM,EDSR SSIM,Bicubic PSNR
Set5,26.56,28.25,0.9797,0.9866,26.89
Set14,24.13,25.32,0.9599,0.9682,24.36
BSD100,24.70,25.44,0.9454,0.9525,24.74
Urban100,21.75,22.74,0.9362,0.9475,21.80
