Dataset,SRCNN PSNR,EDSR PSNR,SRCNN SSIM,EDSR SSIM,Bicubic PSNR
Set5,27.29,28.05,0.9829,0.9859,26.89
Set14,24.67,25.19,0.9639,0.9676,24.36
BSD100,25.02,25.37,0.9486,0.9520,24.74
Urban100,22.11,22.61,0.9404,0.9462,21.80
